neuron_id,animal_id,brain_region,genotype,treatment,replicate,firing_rate_hz,spine_density,cell_survived
N0101,A034,Amygdala,Knockout_GeneX,Acute_Stress,5,6.66,8.56,1
N0091,A031,Amygdala,Knockout_GeneX,Control,1,6.15,6.64,1
N0093,A031,Amygdala,Knockout_GeneX,Control,3,3.08,11.96,1
N0090,A030,Amygdala,WT,Deprivation,6,3.98,10.46,1
N0102,A034,Amygdala,Knockout_GeneX,Acute_Stress,6,5.73,6.43,1
N0056,A019,Prefrontal_Cortex,Knockout_GeneX,Control,2,1.79,12.79,1
N0089,A030,Amygdala,WT,Deprivation,5,3.45,13.37,1
N0055,A019,Prefrontal_Cortex,Knockout_GeneX,Control,1,1.63,10.85,1
N0049,A017,Prefrontal_Cortex,WT,Deprivation,1,4.26,13.35,1
N0067,A023,Prefrontal_Cortex,Knockout_GeneX,Deprivation,1,0.49,11.18,1
N0059,A020,Prefrontal_Cortex,Knockout_GeneX,Control,5,3.05,12.35,1
N0003,A001,Hippocampus,WT,Control,3,5.24,11.58,1
N0088,A030,Amygdala,WT,Deprivation,4,5.26,13.78,1
N0103,A035,Amygdala,Knockout_GeneX,Deprivation,1,4.54,10.73,1
N0057,A019,Prefrontal_Cortex,Knockout_GeneX,Control,3,1.94,9.42,1
N0096,A032,Amygdala,Knockout_GeneX,Control,6,2.8,10.39,1
N0108,A036,Amygdala,Knockout_GeneX,Deprivation,6,0.41,7.66,1
N0043,A015,Prefrontal_Cortex,WT,Acute_Stress,1,6.32,9.73,1
N0063,A021,Prefrontal_Cortex,Knockout_GeneX,Acute_Stress,3,5.58,7.62,1
N0106,A036,Amygdala,Knockout_GeneX,Deprivation,4,2.34,13.37,1
N0018,A006,Hippocampus,WT,Deprivation,6,3.39,9.15,1
N0098,A033,Amygdala,Knockout_GeneX,Acute_Stress,2,7.6,8.49,0
N0060,A020,Prefrontal_Cortex,Knockout_GeneX,Control,6,1.03,10.33,1
N0087,A029,Amygdala,WT,Deprivation,3,4.37,18.93,1
N0034,A012,Hippocampus,Knockout_GeneX,Deprivation,4,3.07,9.23,1
N0036,A012,Hippocampus,Knockout_GeneX,Deprivation,6,4.81,10.32,1
N0047,A016,Prefrontal_Cortex,WT,Acute_Stress,5,6.29,9.54,1
N0045,A015,Prefrontal_Cortex,WT,Acute_Stress,3,4.39,8.95,1
N0032,A011,Hippocampus,Knockout_GeneX,Deprivation,2,4.29,10.03,1
N0071,A024,Prefrontal_Cortex,Knockout_GeneX,Deprivation,5,0.82,8.53,0
N0054,A018,Prefrontal_Cortex,WT,Deprivation,6,3.01,11.34,1
N0039,A013,Prefrontal_Cortex,WT,Control,3,4.33,12.47,1
N0011,A004,Hippocampus,WT,Acute_Stress,5,7.4,9.2,1
N0033,A011,Hippocampus,Knockout_GeneX,Deprivation,3,4.93,9.07,1
N0074,A025,Amygdala,WT,Control,2,4.51,16.9,1
N0020,A007,Hippocampus,Knockout_GeneX,Control,2,4.68,6.83,1
N0028,A010,Hippocampus,Knockout_GeneX,Acute_Stress,4,5.66,6.86,1
N0037,A013,Prefrontal_Cortex,WT,Control,1,3.23,11.41,1
N0081,A027,Amygdala,WT,Acute_Stress,3,7.49,9.69,1
N0040,A014,Prefrontal_Cortex,WT,Control,4,4.01,11.58,1
N0066,A022,Prefrontal_Cortex,Knockout_GeneX,Acute_Stress,6,5.49,,1
